Date,Close/Last,Volume,Open,High,Low
10/20/2021,64998.5,N/A,63847.2,66004.7,64125.9
10/19/2021,63918.7,N/A,62603.8,64343.4,63750.8
10/18/2021,62643.6,N/A,62126.1,62954,61692.9
10/17/2021,62055.5,N/A,61133.8,62563.5,61415.4
10/16/2021,61159,N/A,61624,61333.9,60511.2
10/15/2021,61426.5,N/A,59435.5,61736.8,61123.2
10/14/2021,59323.5,N/A,58071.6,59417.7,56874.8
10/13/2021,58168.4,N/A,56279.9,58506.5,57149.8
10/12/2021,56297.4,N/A,56673.3,56537.3,55845.3
10/11/2021,56704.4,N/A,56505.4,57480.6,56438.3
10/10/2021,56534.9,N/A,55076.9,56681.6,54457.8
10/09/2021,54868.6,N/A,54583.6,55169.9,54100.8
10/08/2021,54637.5,N/A,53802.5,54681.9,53711.7
10/07/2021,53810.6,N/A,54818.2,54418.1,53716.1
10/06/2021,54966.6,N/A,51537.3,55325.2,54162.7
10/05/2021,51540.8,N/A,49302.5,51604.6,50993
10/04/2021,49210.2,N/A,47486.7,49760.2,49060.1
10/03/2021,47498.3,N/A,47882.1,48285,47398.7
10/02/2021,47662.7,N/A,47533.6,47800.5,47123
10/01/2021,47548,N/A,43621.5,48226.6,47509.1
09/30/2021,43467.3,N/A,43627.3,44011.5,43292.9
09/29/2021,43446.4,N/A,42162.2,43495.4,41416.7
09/28/2021,42092.6,N/A,42553.8,42108.5,40815
09/27/2021,43863.5,N/A,41960.3,44293.2,42949.7
09/26/2021,43889.5,N/A,42199.8,44293.2,42949.7
09/25/2021,42234.2,N/A,42634.9,42737.6,41943.9
09/24/2021,42654.1,N/A,44289,42944,42073.8
09/23/2021,44365.4,N/A,44070,44977.5,44336.6
09/22/2021,43959.2,N/A,42051.4,44162.9,43090.1
09/21/2021,42206.2,N/A,42684.5,42393.4,40585.7
09/20/2021,42686.2,N/A,45584.9,43035.6,40401.5
09/19/2021,45526.3,N/A,47840.2,47323.9,45310.7
09/18/2021,47940.9,N/A,47926.1,48341.9,47650.8
09/17/2021,47526.6,N/A,48032.7,47572,47070.5
09/16/2021,47876.3,N/A,47625.4,48095.8,47466.5
09/15/2021,47545.5,N/A,47091.9,48181.9,47358.8
09/14/2021,47097.4,N/A,45193.2,47396,46953.7
09/13/2021,45281.7,N/A,44845,45353.8,44718.7
09/12/2021,44973.6,N/A,45319.6,46269.8,44830
09/11/2021,45308.7,N/A,45190.1,45338.8,44755.2
09/10/2021,45023.2,N/A,46721.5,45476.1,44766.6
09/09/2021,46604.7,N/A,45973.9,47021.6,46287.7
09/08/2021,45904.5,N/A,46444.2,46341.9,45609
09/07/2021,46533.2,N/A,52649.9,47316.9,46329.3
09/06/2021,52639.6,N/A,51601.2,52885.3,52388.6
09/05/2021,50129.3,N/A,50099.3,50285.9,49492.4
